filename,duration,sr,n_channels,loudness_lufs,loudness_rms_db,rms,bpm,n_beats,meter,genre,genre_confidence,danceability,danceability_confidence,voice_instrumental,mood_happy,mood_sad,mood_aggressive,mood_relaxed,pitch_median_hz,key,scale,key_strength,fluctuation,spectral_irregularity,session,n_onsets,syncopation_score
02_tame_impala_the_less_i_know_the_better.mp3,8.8,44100,2,-12.79,-16.1,0.12622,115,17,4,Funk / Soul---Funk,0.293,danceable,0.985,voice,0.572,0.074,0.373,0.117,139.9,C#,minor,0.85,3075.7928,0.4297,session_log_02-27_10h-37m,,
03_edwin_mccain_i_could_not_ask_for_more.mp3,279.75,44100,2,-7.7,-11.2,0.239015,67,308,4,Rock---Pop Rock,0.254,not_danceable,0.758,voice,0.474,0.383,0.044,0.419,221.2,F,major,0.97,6706.686,0.4,session_log_02-27_10h-37m,,
04_edwin_mccain_ill_be.mp3,260.89,44100,2,-8.72,-11.65,0.232827,136,602,4,Rock---Alternative Rock,0.172,not_danceable,0.951,voice,0.339,0.288,0.07,0.458,246.2,B,major,0.967,7934.1737,0.4469,session_log_02-27_10h-37m,,
05_tame_impala_borderline.mp3,21.6,44100,2,-9.97,-12.24,0.197624,97,35,4,Electronic---Downtempo,0.147,danceable,0.999,voice,0.708,0.06,0.071,0.353,348.6,C,minor,0.849,3191.3993,0.4341,session_log_02-27_10h-37m,,
06_alanis_morissette_head_over_feet_2015_remaster.mp3,6.53,44100,2,-14.69,-17.89,0.109432,81,9,4,Rock---Pop Rock,0.149,not_danceable,0.812,voice,0.482,0.321,0.008,0.693,209.3,C,major,0.94,2671.6232,0.3728,session_log_02-27_10h-37m,,
07_the_goo_goo_dolls_iris.mp3,268.49,44100,2,-11.04,-13.99,0.16507,158,614,4,Rock---Alternative Rock,0.262,not_danceable,0.735,voice,0.289,0.389,0.137,0.49,219.5,D,major,0.905,8188.8151,0.4023,session_log_02-27_10h-37m,,
08_howie_day_collide.mp3,247.06,44100,2,-11.82,-14.38,0.155341,94,404,4,Rock---Brit Pop,0.325,not_danceable,0.929,voice,0.117,0.159,0.006,0.753,165.5,B,major,0.962,7568.0357,0.4232,session_log_02-27_10h-37m,,
09_five_for_fighting_superman_its_not_easy.mp3,216.74,44100,2,-14.83,-18.13,0.099688,107,356,4,Rock---Pop Rock,0.191,not_danceable,0.983,voice,0.145,0.158,0.007,0.656,263.7,C,major,0.974,8201.5589,0.4605,session_log_02-27_10h-37m,,
10_gin_blossoms_til_i_hear_it_from_you.mp3,8.8,44100,2,-14.08,-18.12,0.105122,125,19,4,Rock---Alternative Rock,0.239,not_danceable,0.935,voice,0.334,0.293,0.076,0.414,220.0,A,major,0.769,2764.0185,0.5118,session_log_02-27_10h-37m,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_edwin_mccain_ill_be.mp3,253.75,44100,2,-7.99,-11.06,0.2488,136,597,4,Rock---Alternative Rock,0.171,not_danceable,0.953,voice,0.392,0.306,0.062,0.435,246.3,B,major,0.968,7898.8594,0.4406,session_log_03-02_15h-13m,259,39
02_third_eye_blind_hows_it_going_to_be.mp3,254.49,44100,2,-17.62,-20.23,0.083546,81,313,4,Rock---Alternative Rock,0.429,not_danceable,0.794,voice,0.337,0.453,0.219,0.48,177.6,F,major,0.932,6895.8488,0.433,session_log_03-02_15h-13m,381,46
03_barenaked_ladies_pinch_me.mp3,18.57,44100,2,-9.67,-11.47,0.239008,97,29,4,Electronic---Trip Hop,0.251,danceable,0.919,instrumental,0.562,0.212,0.043,0.491,123.5,C,major,0.908,3934.8182,0.4315,session_log_03-02_15h-13m,61,58
04_hootie_the_blowfish_hold_my_hand.mp3,255.56,44100,2,-9.23,-12.42,0.204337,86,382,4,Rock---Hard Rock,0.204,not_danceable,0.942,voice,0.418,0.246,0.039,0.403,236.6,E,major,0.843,7505.1918,0.4105,session_log_03-02_15h-13m,389,49
05_collective_soul_the_world_i_know.mp3,100.68,44100,2,-19.99,-22.41,0.065944,77,128,4,Rock---Alternative Rock,0.264,not_danceable,0.963,voice,0.161,0.13,0.008,0.713,218.9,G,major,0.839,4812.4063,0.4325,session_log_03-02_15h-13m,145,48
